"title","author","rank_score","rating","n_reviews","n_pages","year","first_published","publisher","characters","language","series","setting","description"
"Hijrah Hati di Senja Copacabana","Dini Fitria",100,3.83,15,336,2014,NA,"Noura Books",NA,"Indonesian","Scappa per Amore #2",NA,"Andai aku tidak pergi ke Eropa, pasti aku bisa mendampingi Mama di hari-hari terakhirnya.Penyesalan karena tak sempat mengucap kata perpisahan pada sang mama menghapus senyum dari wajah Diva seusai perjalanannya di Eropa. Selama beberapa minggu di kampung halamannya di Padang, Diva berupaya mengenang sekaligus belajar melepaskan. Namun waktu tak menanti duka. Diva harus ke"
"Markesot Bertutur","Emha Ainun Nadjib",100,4.13,30,471,2015,1993,"Mizan",NA,"Indonesian","Markesot #1",NA,"Markesot adalah sosok lugu nan cerdas, mbeling, terkadang misterius. Dalam kesehariannya dengan sahabat-sahabatnya, Markembloh, Markasan, Markemon, dan lain-lain yang tergabung dalam Konsorsium Para Mbambung (KPMb), Markesot memperbincangkan seabrek problem masyarakat kita. Dari konflik politik internasional sampai soal celana. Dari tasawuf hingga filosofi urap. Dalam gaya"
"Pulang","Tere Liye",100,4.33,614,404,2015,NA,"Republika",NA,"Indonesian","Si Babi Hutan #1",NA,"""Aku tahu sekarang, lebih banyak luka di hati bapakku dibanding di tubuhnya. Juga mamakku, lebih banyak tangis di hati Mamak dibanding di matanya.""Sebuah kisah tentang perjalanan pulang, melalui pertarungan demi pertarungan, untuk memeluk erat semua kebencian dan rasa sakit."" “Selalu ada hal baru yang bisa direnungi dan dipahami dari novel-novel Tere Liye.”—Pulin Sri Lesta"
"Twilight in Jakarta","Mochtar Lubis",100,3.97,63,NA,2014,1963,"Smashwords Edition",NA,"English",NA,NA,"Half a century ago when Mochtar Lubis's Twilight in Jakarta was secreted out of Indonesia and published in London, it was the first Indonesian novel ever to be published in English translation. The novel, a depiction of social and political events in the capital during the run-up to a national election, contains a grim cast of characters: corrupt politicians, impotent inte"
"Asal-usul Sawung Kampret & Pendekar Baju Belang dan Pipi Tembem Bagian 1","Dwi Koendoro",99,4.44,5,NA,NA,NA,"Penerbit Mizan",NA,"Indonesian","Legenda Sawung Kampret #1","Indonesia","Legenda Sawung Kampret (Legenda Keturunan Panji Koming)-sebuah ""Roman Hwarakadah"" zaman VOC abad ke-17. Legenda ini bertutur seputar kurun waktu Gubernur Jenderal Jan Pieterszoon Coen (JP Coen) berkuasa (1587-1629) dan menceritakan asal-usul Sawung Kampret dan sohibnya Na'ib bin Jali dalam membantu rakyat betawi melawan kompeni."
"Candle Girl","Rudi Hilmanto",99,4.83,1,52,2013,NA,"Rudi Hilmanto",NA,"English",NA,NA,"This story is inspired by a girl who has a heart like a candle. She has fortitude in her life, is responsive to the people around her, but sometimes she sacrifices herself for the benefit of others. Romantic story of her romance with naive man tinged with the reality of life background such as: religion, family, culture, and the past love story that she experienced. This i"
"Jadian 6 Bulan","Rhein Fathia",99,3.82,42,202,2005,NA,"Dar! Mizan",NA,"Indonesian",NA,NA,"Cinta bukanlah permainan. Apa pun alasannya cinta bukanlah sarana pertaruhan gengsi. Siapa pun tak ada yang menduga kalo Rio cowok keren idola cewek se-SMA Negeri 1 Bogor itu nekat nembak Tiara seorang jilbaber aktivis Rohis. Gayung pun bersambut Tiara mau jalan bareng sama cowok yang gape maen basket itu. Seisi ""dunia"" dibikin heboh oleh ulah mereka. ""Rio jadian sama Tiar"
"Scappa per Amore","Dini Fitria",99,3.79,25,320,2013,NA,"Noura Books",NA,"Indonesian","Scappa per Amore #1",NA,"Banyak manusia yang keliru memaknai hidupnya,tapi lebih banyak lagi yang menjalaninya tanpa makna.Italia. Inilah negara keempat yang dikunjunginya. Awalnya, tugas liputan kehidupan kaum Muslim di beberapa negara di Eropa ini diterimanya untuk rehat sejenak dari kenyataan pahit yang sulit dihadapinya. Namun, di depan Fontana di Trevi pun. Diva masih berusaha mengumpulkan ke"
"Setangkai Melati di Sayap Jibril","Danarto",99,4.03,9,396,2000,NA,"Bentang",NA,"Indonesian",NA,NA,"Cerpen-cerpen Danarto, cenderung menghadirkan hal yang non-real, yang tak nyata, ke dalam bingkai kenyataan. Yang real dan non-real mewujud bukan sebagai sesuatu yang saling bersentuhan, tetapi justru sebagai yang paling bertentang, bukan “dua dunia” yang tidak saling bersentuhan, tetapi justru sebagai yang saling berkelindan, jalin-menjalin, pengaruh-mempengaruhi."
"Ekologi Pedesaan: Sebuah Bunga Rampai","Sajogyo",98,3.94,0,348,1987,1982,"Rajawali Pers",NA,"Indonesian",NA,NA,NA
"1000 Tahun Nusantara","J.B. Kristianto",98,NA,7,812,2000,NA,"PT Kompas Media Nusantara",NA,"Indonesian",NA,NA,"Essai mengenai kebudayaan, sejarah, ekonomi Indonesia dalam kurun waktu 1000 tahun (1900 s/d 2000)"
"Alusi","Pringadi Abdi",98,3.54,2,144,2009,2009,"Pustaka Pujangga",NA,"Indonesian",NA,NA,"Topi Bundar dan Anak Panah Yang Mengenal Jalan KembaliTopi saya bundarbundar topi sayaTAPI tak bundar topinya, takbundar buminya. Ia yakin datardunia sedatar mimiknya yangtengah memenggal Galileadi depan petinggi gerejadi kepala nya yang terpenggalia pasangkan topi kerucut biar lucu seperti badut (katanya)*Kalau tidak bundarbukan topi sayaPASTI ulah Robin Hud yangmencoba m"
"Kata, Waktu: Esai-esai Goenawan Mohamad, 1960-2001","Goenawan Mohamad",98,4.18,6,1513,2001,NA,"Pusat Data dan Analisa Tempo",NA,"Indonesian",NA,NA,"On literature, culture, civilization, and politics; essays."
"Reforma Agraria: Perjalanan yang belum berakhir","Gunawan Wiradi",98,NA,0,247,2000,NA,"INSISTPress, KPA dan Pustaka Pelajar",NA,"Indonesian",NA,NA,"Buku ini merupakan hasil olahan dari 23 (dua puluh tiga) tulisan Gunawan Winardi (GWR) yang disampaikan dalam berbagai seminar, lokakarta atau diskusi yang merentang dari tahun 1992 hingga awal tahun 2000. Buku ini hanyalah sebagian dari karya-karya tulis GWR, karangan GWR tidak hanya menyangkut masalah agrarian, tetapi juga meliputi soal-soal transmigrasi, demokrasi, meto"
"Winter Dreams","Maggie Tiojakin",98,3.57,57,291,2011,NA,"PT. Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Nicky F. Rompa tak sengaja terdampar di negeri orang bersama jutaan imigran ilegal yang membawa kisah mereka masing-masing ke dalam salah satu kota paling bersejarah di Pantai Timur AS.Mengambil setting di Boston, Mass., - dan dikemas dalam atmosfir romantisme urban - ""Winter Dreams"" menyajikan mimpi-mimpi yang tak jarang melebur ke dalam realita dan melahirkan sebuah ilus"
"Pada Suatu Hari Nanti & Malam Wabah","Sapardi Djoko Damono",98,3.94,59,94,2013,NA,"Bentang Pustaka",NA,"Indonesian",NA,NA,"Cerita-cerita yang dikumpulkan dalam ""Pada Suatu Hari Nanti"" didasarkan pada berbagai sumber, lisan maupun tulis. Sumber yang dipakai umumnya sudah dikenal luas dan memiliki sejenis pakem. Dongeng dari pakem bisa berupa lisan atau tulisan, atau yang dalam perkembangannya telah melalui proses ulang-alik lisan-tulisan. Ini merupakan kumpulan dongeng carangan “cabang, ranting"
"Larasati","Pramoedya Ananta Toer",98,3.65,131,180,2003,NA,"Lentera Dipantara",NA,"Indonesian",NA,NA,"LARASATI – sebuah roman revolusi semasa perjuangan bersenjata 1945-1950. Kisah tentang pemuda-pemuda Indonesia yang rela membaktikan jiwa raga demi proklamasi kemerdekaan, kisah-kisah tentang para pahlawan sejati dan pahlawan munafik, pertarungan di daerah republik dan daerah pendudukan Belanda – antara yang setia dan yang menyeberang, antara uang ORI dan uang Nica, dengan"
"Our Story","Orizuka",98,4.03,163,240,2010,NA,"Authorized Books",NA,"Indonesian",NA,NA,"Masa SMA.Masa yang selalu disebut sebagai masa paling indah,tapi tidak bagi anak-anak SMA Budi Bangsa.SMA Budi Bangsa adalah sebuah SMA di pinggiran ibukota yang terkenal dengan sebutan SMA pembuangan sampah, karena segala jenis sampah masyarakat ada di sana.Preman. Pengacau. Pembangkang. Pembuli. Pelacur.Masuk dan pulang sekolah sesuka hati.Guru-guru honorer jarang masuk"
"Senopati Pamungkas","Arswendo Atmowiloto",98,4.3,7,NA,1987,NA,"Gramedia",NA,"Indonesian","Senopati Pamungkas",NA,NA
"Kekasihku","Joko Pinurbo",98,3.75,24,NA,2004,NA,"Kepustakaan Populer Gramedia",NA,"Indonesian",NA,NA,"Buku ini berisi puisi-puisi yang mengungkap hubungan seorang ibu dengan anaknya. Joko, dengan kepiawainnya merangkai kata, membawa pembaca ke hubungan paling halus antara seorang ibu dan anak-anaknya."
"Hujan","Tere Liye",98,4.27,761,320,2016,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Tentang persahabatanTentang cintaTentang perpisahanTentang melupakanTentang hujan"
"Sheila: Luka Hati Seorang Gadis Kecil","Torey L. Hayden",98,4.24,853,476,2003,NA,"Penerbit Qanita","Torey, Sheila","Indonesian","Sheila #1",NA,"Sudah ada delapan murid berusia tak lebih dari 10 tahun di kelas itu. Seorang anak pernah dua kali mencoba bunuh diri, seorang anak buta, seorang lagi agresif, dua orang anak menderita autisme, seorang skizofrenia, seorang pernah mengalami penganiayaan fisik dan seksual, sedangkan yang terkahir menderita beragam fobia.Bila Anda harus mengajar di kelas itu, bersediakah Anda"
"Dari Katabelece Sampai Kakus: Kumpulan Kolom Bahasa Kompas","Nuradji",97,3.18,3,234,2003,NA,"Penerbit Buku Kompas",NA,"Indonesian",NA,NA,"Memuat 47 tulisan yang pernah dimuat di rubrik Opini dan rubrik Bahasa Harian Kompas dari tahun 1993 hingga pertengahan Agustus 2001.Para Penulis (in alphabetical order):1. A. M. Slamet Soewandi2. Andik Wahyu Sulistiyo3. Bambang Kaswanti Purwo4. Edy Sugiarto5. Felicia N. Utorodewo6. Nathanael Daldjoeni7. Gunawan Wibisono Adidarmojo8. Handrawan Nadesul9. Hari S. Haryono10."
"Kenanga","Oka Rusmini",97,3.63,46,294,NA,NA,"Gramedia Widiasarana Indonesia",NA,"Indonesian",NA,"Indonesia",NA
"Metropolis","Windry Ramadhina",97,3.91,133,331,2009,NA,"Grasindo",NA,"Indonesian",NA,"Indonesia","Gilli tertawa. “Keras kepala boleh, Kawan. Semua Saada memang begitu. Aku maklum. Tapi, jangan lalu kau jadi bodoh! Sudah delapan pemimpin mati. Kau kira ini perseteruan biasa?”Perkataan Gilli membuat Ferry berpikir ulang. Sejak lama ia memang merasa janggal dengan kematian beruntun para pemimpin Sindikat 12, tetapi ia seakan dibutakan oleh kebenciannya terhadap Geng Gilli"
"Pengarang Telah Mati: Segenggam Cerita","Sapardi Djoko Damono",96,3.7,10,156,2001,NA,"IndonesiaTera",NA,"Indonesian",NA,NA,"28 kisah dalam buku ini, kecuali “Pengarang Telah Mati”, dapat dikelompokkan ke dalam genre short-short stories, dan dari sisi penjelajahan tematik berada dalam tradisi dongeng kearifan Timur, khususnya yang berakar dari literasi Zen dan Sufi, yang padat dan singkat secara naratif, kaya makna secara tafsir, dan indah secara bahasa. Lu Xun di Cina, Augusto Monterroso di Mek"
"Juru Masak: Sehimpun Cerita Pendek","Damhuri Muhammad",96,3.83,14,158,2009,NA,"Koekoesan",NA,"Indonesian",NA,NA,"""Dalam sebagian besar cerita Damhuri, kampung terungkapkan dalam bahasanya sendiri, bahasa yang mengungkap perbendaharaan kampung, tanpa harus berarti usang, karena baik persoalan, maupun sudut pandang dan pendekatannya, sepenuhnya berpijak pada masa kini. Bagai menjawab suatu nostalgia, sekaligus mengingatkan agar tak terlena…""Seno Gumira Ajidarma, novelis----Kenduri itu"
"Entrok","Okky Madasari",96,3.97,251,282,2010,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Marni, perempuan Jawa buta huruf yang masih memuja leluhur. Melalui sesajen dia menemukan dewa-dewanya, memanjatkan harapannya. Tak pernah dia mengenal Tuhan yang datang dari negeri nun jauh di sana. Dengan caranya sendiri dia mempertahankan hidup. Menukar keringat dengan sepeser demi sepeser uang. Adakah yang salah selama dia tidak mencuri, menipu, atau membunuh?Rahayu, a"
"Jingga","Agnes Jessica",95,3.96,26,448,2009,NA,"Pustaka Heron",NA,"Indonesian","Pelangi #2",NA,"Benarkah uang adalah penyebab utama dari penderitaan di dunia ini? ""Kita mesti punya banyak uang. Banyak sekali uang. Dengan uang itu, kita tidak akan diremehkan siapapun. Dan dengan uang, penderitaan tidak bisa mampir dalam hidup kita!""Benarkah manusia bisa menghindari cinta?""Kau harus berkepala dingin, tidak boleh jatuh cinta. Jangan bodoh, posisimu harus kuat. Kalau pr"
"Kasino Bernama Kepulauan Seribu","Alwi Shahab",95,3.33,0,212,2007,NA,"Penerbit Lentera",NA,"Indonesian",NA,NA,"Seri Legenda Jakarta Seperti pernah ditulis majalah TEMPO, Cerita-cerita Betawi, Alwi Shahab, dalam kolom sejarah mengenangkan akan perubahan morfologis kota Jakarta yang telah berusia hampir lima abad. Juga mengungkapkan perubahan sosial dan ekonomi dalam usianya yang cukup penting itu. Alwi Shahab, dalam tulisan-tulisannya juga mengungkapkan ragam kelompok etnis seperti"
"Ayat-Ayat Semesta: Sisi-Sisi Al Quran yang Terlupakan","Agus Purwanto",95,4.02,16,437,2008,NA,"Mizan",NA,"Indonesian",NA,"Indonesia","”Penulis buku ini menjelaskan mata rantai antara Al-Quran sebagai wahyu Allah, dan ilmu pengetahuan sebagai olah pikir rasio manusia.” —Prof. Dr. Ir. Djoko Santoso Rektor ITB ”Sebuah karya penting yang mencoba menafsirkan ayat-ayat kauniyah Al-Quran dari perspektif sains modern. Patut dibaca semua kalangan.” —Prof. Dr. Mulyadhi Kartanegara Guru Besar Filsafat Islam UIN Jak"
"Bapakku Ibuku: Dua Manusia yang Kucinta dan Kukagumi","Rachmawati Soekarno",95,3.17,0,261,1984,NA,"Garuda Metropolitan Press",NA,"Indonesian",NA,NA,NA
"Boylicious","Christian Simamora",95,2.7,15,324,2006,NA,"Gagas Media",NA,"Indonesian",NA,NA,"CARA YANG PALING OKE BUAT NAKLUKIN GEBETAN:A. Nembak dia di Katakan Cinta.B. Jadi intel: cari tahu nomor HP, alamat rumah (kalo perlu satronin langsung ke rumahnya), hobi, makanan kesukaan?. Yah, meskipun risikonya bakalan dianggap psycho sama temen-temen.C. Nggak mau keliatan agresif, tapi sebisa mungkin jadi cewek ter-sweet di mata cowok itu: pinjemin catatan, bikin maka"
"The Devil in Black Jeans","AliaZalea",95,3.81,235,352,2013,NA,"Gramedia Pustaka Utama","Dara, Johan Brawijaya, Blu","Indonesian",NA,NA,"Dara betul-betul mencintai pekerjaannya sebagai personal assistant para artis, sampai dia bekerja untuk Blu, penyanyi opera Indonesia berumur lima belas tahun. Masalahnya bukan pada Blu, tapi kakaknya, yaitu Johan Brawijaya, drummer paling ganteng se-Indonesia yang superprotektif kepada adiknya dan membuat Dara ingin mencekiknya setiap kali bertemu.Sebagai drummer kawakan"
"Tahta Untuk Rakyat","Atmakusumah",94,4.26,23,384,1982,NA,"Gramedia",NA,"Indonesian",NA,NA,NA
"Sandra","Agnes Jessica",94,3.65,10,382,2005,NA,NA,NA,"Indonesian",NA,NA,"Dari Yogyakarta, Sandra datang ke Jakarta untuk menemukan pembunuh Diana Denita, kakaknya. Ia memulai penyelidikannya dengan terjun langsung ke dunia model yang digeluti kakaknya semasa hidup, untuk itu ia mengikuti sebuah kontes kecantikan yang diadakan perusahaan tempat kakaknya bekerja. Melalui buku harian Diana ia mencurigai pembunuh sang kakak adalah Darma yang tak la"
"Ciliwung: Venesia dari Timur","Alwi Shahab",94,NA,0,214,2007,NA,"Penerbit Lentera",NA,"Indonesian",NA,NA,"Seri Legenda JakartaSeperti pernah ditulis majalah TEMPO, Cerita-cerita Betawi, Alwi Shahab, dalam kolom sejarah mengenangkan akan perubahan morfologis kota Jakarta yang telah berusia hampir lima abad. Juga mengungkapkan perubahan sosial dan ekonomi dalam usianya yang cukup penting itu. Alwi Shahab, dalam tulisan-tulisannya juga mengungkapkan ragam kelompok etnis seperti C"
"Miss Pesimis","AliaZalea",94,3.75,209,272,2010,NA,"Gramedia Pustaka Utama","Adriana Amandira, Titania Larasati, Inara Hanindita, Ervin Daniswara, Thomas Baron Iskandarsyah","Indonesian",NA,"Jakarta(Indonesia) Lembang(Indonesia)","Bertahun-tahun Adriana Amandira memendam cinta pada Baron tanpa berani memperlihatkannya, karena mengira dia bukan tipe wanita yang disukai lelaki itu. Sepuluh tahun kemudian, ketika sudah sama-sama dewasa dan sukses, kenyataan berkata lain dan kesempatan terbuka untuknya untuk memiliki kebersamaan mereka.Namun ketika Baron melamarnya, Adriana bimbang. Jika ia menerima pin"
"Oey Tambahsia Playboy Betawi","Alwi Shahab",93,3.5,1,208,2007,NA,"Penerbit Lentera",NA,"Indonesian",NA,"Indonesia","Seri Legenda JakartaSeperti pernah ditulis majalah TEMPO, Cerita-cerita Betawi, Alwi Shahab, dalam kolom sejarah mengenangkan akan perubahan morfologis kota Jakarta yang telah berusia hampir lima abad. Juga mengungkapkan perubahan sosial dan ekonomi dalam usianya yang cukup penting itu. Alwi Shahab, dalam tulisan-tulisannya juga mengungkapkan ragam kelompok etnis seperti C"
"Sewindu Dekat Bung Karno","Bambang S. Widjanarko",93,3.93,15,NA,NA,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,NA
"Gajah Mada: Biografi Politik","Agus Aris Munandar",93,3.69,5,162,2010,NA,"Komunitas Bambu",NA,"Indonesian",NA,NA,"Gajah Mada tokoh besar dan terkenal tetapi masih sangat gelap riwayat hidupnya. Bahkan keterangan mendasar ihwal Gajah Mada masih kabur: siapa sejatinya dan bagaimana akhir hayatnya? Apakah benar ia berasal dari kalangan penguasa Majapahit? Betulkah ia yang merancang pembunuhan Jayanegara melalui tangan Tanca sang tabib istana karena Raja Majapahit itu telah melanggar peru"
"Langit Pilihan: Buku Puisi","Eka Budianta",93,4.5,1,80,2012,NA,"Kosa Kata Kita",NA,NA,NA,NA,"Buku puisi penyair senior ini berisi 77 puisi yang mayoritasnya bertarikh tahun 2012. Ini berarti dia tak pernah berhenti berpuisi, dan tak dihalangi oleh kegiatan lainnya yang cukup banyak. Penyair Sapardi Djoko Damono menyebut bahwa Eka memilih bahasa yang lurus, tanpa harus meninggalkan ambiguitas, ciri yang umumnya ada pada puisi modern."
"Rahasia Hujan","Adham T. Fusama",93,3.52,45,272,2014,NA,"Moka Media",NA,"Indonesian",NA,NA,"Sekolah Pandu kedatangan murid baru dari Jepang, seorang anak pendiam yang misterius. Sebagai teman sebangku, Pandu merasa harus bersikap ramah, meski Anggi—si murid baru—terus bersikap dingin.Pada akhirnya, kebaikan hati Pandu membuat Anggi jatuh cinta. Tapi Pandu sudah punya pacar—seorang gadis cantik bernama Nadine. Ketika rasa sayang Anggi berubah menjadi obsesi berbah"
"Hukum Pancung di Batavia","Alwi Shahab",92,NA,0,208,2007,NA,"Penerbit Lentera",NA,"Indonesian",NA,NA,"Seperti pernah ditulis majalah TEMPO, Cerita-cerita Betawi, Alwi Shahab, dalam kolom sejarah mengenangkan akan perubahan morfologis kota Jakarta yang telah berusia hampir lima abad. Juga mengungkapkan perubahan sosial dan ekonomi dalam usianya yang cukup penting itu. Alwi Shahab, dalam tulisan-tulisannya juga mengungkapkan ragam kelompok etnis seperti Cina, Arab, India, In"
"Macarin Anjing","Christian Simamora",92,2.98,38,356,2007,NA,"Gagas Media",NA,"Indonesian",NA,NA,"Libby, tokoh dalam novel ini, adalah tokoh yang sangat lovable. I love her and I love this novel. A page turner![Ninit Yunita, istribawel & penulis]Serasa kena tonjok. Hei, gue juga pernah macarin anjing dan gue rasa setiap cewek pernah jatuh cinta sama cowok tipe kayak gini (Ngaku deh!). Gue masih inget jelas GRRR.... Menyedihkan memang, kadang yang imitasi memang leb"
"Area X: Hymne Angkasa Raya","Eliza V. Handayani",92,3.68,77,368,2003,NA,"DAR! Mizan",NA,"Indonesian",NA,"Indonesia","Kita Tak Pernah Benar-Benar SendirianMenurut saya, Eliza lebih dari penulis pemula. Karyanya, Area-X ini tak terbayangkan dan mengasah imajinasi kita dari awal hingga akhir cerita. Rasanya, berat meletakkan buku ini di rak sebelum kita benar-benar selesai membacanya. ~Helvy Tiana RosaAda komponen penting dalam Area X: Hymne Angkasa Raya ini, antara lain obsesi pengarang, r"
"Merah","Agnes Jessica",91,NA,27,446,2009,NA,"Pustaka Hermon",NA,"Indonesian","Pelangi #1",NA,"Sesuai dengan namanya, Petra keras kepala seperti batu karang. Masa kecilnya pun keras karena ia ditolak oleh keluarganya. Ia memang tak secantik kakak pertamanya, Joana. Dan tak sepintar kakak keduanya, Helen. Dan orang tuanya tak senang mendapatkan anak ketiga lagi-lagi perempuan di saat ekonomi mereka tak terlalu baik. Tapi ia punya hati yang baik. Pertemuan dengan Yoha"
"Shit Happens: Gue yang Ogah Kawin, Kok Lo yang Rese?!","Christian Simamora",91,3.04,94,310,2007,NA,"GagasMedia",NA,"Indonesian",NA,NA,"Shit does happen in their life. But, still, life must goes on....Lula, Sebastian, dan Langit. Tiga orang lajang yang hidup di kota besar bernama Jakarta dengan profesi berbeda. Jurnalis, penulis, dan editor. Love their life much, so damn proud of themselves, boast their freedom of life as an individual. ‘till one question ruins their [un]perfect life. Lula : I have a good"
"Oppa & I: Love Signs","Orizuka",91,4.09,51,220,2013,NA,"Penerbit Haru",NA,"Indonesian","Oppa & I #3",NA,"Jae In:Oppa.Apa yang sedang terjadi?Kenapa hidupku jadi serumit ini?Kenapa aku tak bisa memahami perasaanku sendiri?Jae Kwon:Jae In-a.Oppa pernah bilang kan, kalau Oppa akan selalu ada untukmu?Jadi, kenapa kau harus menyimpannya sendiri?Ada oppa di sini!Oppa & I: Love Signs adalah buku ketiga dari seri Oppa & I yang diangkat dari webseries di koreanupdates.com"
"Gelang Giok Naga","Leny Helena",90,3.6,32,319,2007,NA,"Qanita","Yang Kuei-Fei, A Lin, A Sui, Swanlin","Indonesian",NA,"Indonesia","Yang Kuei Fei, seorang selir kaisar Cina, melarikan diri dalam kekalutan setelah terbunuhnya sang Putra Langit. A Lin dan A Sui, dua wanita imigran Cina, tiba di Indonesia pada awal abad ke-20. Swanlin, seorang gadis pemberani, berdiri tegak di tengah pergolakan kebencian terhadap kaum Tionghoa. Sebuah gelang giok peninggalan para naga menyatukan bentangan takdir mereka."
"Bukan Pengantin Terpilih","Agnes Jessica",89,3.78,44,192,2008,NA,"Vania Books",NA,"Indonesian",NA,NA,NA
"Bung Karno & Kesayangannya","Guntur Soekarno",89,4.46,0,217,1981,NA,"PT Karya Unipress",NA,"Indonesian",NA,NA,"Setiap bab menceritakan satu benda/hal tentang kesayangan Bung Karno; parfum Shalimar, patung, lukisan, tongkat komando, peci/kopiah, alat cukur jenggot. dll.Sebuah riset yang sangat mendalam dari penulis yang nota bene adalah anak pertamanya; Mas Tok."
"Hikayat Kadiroen: sebuah novel","Semaoen",88,3.52,17,236,2000,NA,"Yayasan Bentang Budaya",NA,"Indonesian",NA,NA,"Jalan hidup Kadiroen, pejabat lokal di pemerintahan Hindia Belanda, berubah setelah dia mendengar pidato Tjitro, seorang tokoh Partai Komunis. Tjitro bicara tentang kapitalisme, perlunya berserikat, serta komunisme.Idealisme Kadiroen sejalan dengan konsep Partai Komunis. Dia pun bersimpati dan mendukung partai itu secara diam-diam. Dia melepas kariernya di pemerintahan kol"
"Dongeng Sebelum Tidur","Agnes Jessica",88,3.6,23,224,NA,NA,"PT Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Sebelum keluar dari pintu, Cadenza menjawab, ”Kupikir aku bisa memperoleh seorang istri idaman, pilihan ibuku. Siapa sangka yang kudapatkan wanita bekas pria lain!”Kiara melemparkan pajangan, tapi pintu keburu tertutup, dan patung itu pecah berkeping-keping, terbentur kayu pintu yang tebal.Karena ayahnya berutang budi pada keluarga angkatnya, Kiara terpaksa menikah dengan"
"Tubuh Anda adalah Dokter yang Terbaik","Husen A. Bajry",88,3.91,3,171,2008,NA,"Hayati Qualita",NA,"Indonesian",NA,NA,"Ketika ilmu kedokteran semakin canggih, jumlah rumah sakit dan dokter semakin banyak, industri farmasi pun semakin berkembang, tetapi mengapa justru daya tahan tubuh manusianya semakin rendah dan orang sehat semakin langka.Masyarakat umum masih menganggap bahwa sehat itu identik dengan ""obat dan dokter"". Kondisi ini diperparah oleh banyaknya iklan obat-obatan yang memberik"
"Ayah","Andrea Hirata",88,4.28,612,412,2015,NA,"Bentang",NA,"Indonesian",NA,NA,"Betapa Sabari menyayangi Zorro. Ingin dia memeluknya sepanjang waktu. Dia terpesona melihat makhluk kecil yang sangat indah dan seluruh kebaikan yang terpancardarinya. Diciuminya anak itu dari kepala sampai ke jari-jemari kakinya yang mungil. Kalau malam Sabari susah susah tidur lantaran membayangkan bermacam rencanayang akan dia lalui dengan anaknya jika besar nanti. Dia"
"Catatan Subversif","Saut Situmorang",87,3.81,4,82,2004,NA,"Buku Baik Yogyakarta",NA,"Indonesian",NA,NA,"A collection of political poetry in Indonesian"
"Ny. Talis: Kisah Mengenai Madras","Budi Darma",87,3.55,4,267,1996,NA,"Grasindo",NA,"Indonesian",NA,NA,"ADA apa dengan orang yang sering melihat debu-debu beterbangan, bermimpi menjadi debu, tercampak ke bumi, dan kemudian menjadi manusia? Dalam novel Ny. Talis (Kisah mengenai Madras), orang ini diberi nama Madras. Madras merupakan satu dari banyak orang di Surabaya yang dihinggapi berbagai kesaktian dan kejadian aneh. Bayangkan, ia dapat berjalan di atas rentangan tali, lom"
"I Swasta Setahun di Bedahulu","Anak Agung Pandji Tisna",87,4.21,4,209,1986,1938,"Balai Pustaka",NA,"Indonesian",NA,NA,"I Swasta adalah pemuda desa. Ia mampu membunuh harimau yang selama ini dihebohkan sebagai jelmaan dewa dan yang sering merusak perkampungan. Nama I Swasta menjadi terkenal dan ia diangkat menjadi abdi dan pengiring raja.Karena khawatir akan kalah bersaing, banyak para abdi raja yang membencinya. Apalagi ketika ia juga mencintai gadis bernama I Nogati yang selama ini banyak"
"Land Reform dan Gerakan Agraria Indonesia","Noer Fauzi Rachman",87,4.31,3,356,2017,2011,"INSISTPress",NA,"Indonesian",NA,NA,"Kata kunci: land reform, reforma agraria, politik agraria, gerakan agraria Indonesia. Buku ini merekam lintasan perjalanan land reform semenjak Proklamasi Kemerdekaan Indonesia pada 1945. Land reform, salah satu amanat Undang-Undang Nomor 5 Tahun 1960 tentang Peraturan Dasar Pokok-Pokok Agraria (UUPA), dibekukan selama Orde Baru. Di masa akhir rezim otoriter Soeharto itu,"
"Orange","Windry Ramadhina",86,3.61,218,286,2008,NA,"GagasMedia",NA,"Indonesian",NA,NA,"‘Dikuncinya pintu di belakangnya lalu ia bersandar lemas pada pintu tersebut. Ia seperti dipaksa menyadari kenyataan. Konyol rasanya, bercinta dengan Diyan di dalam kamar yang penuh dengan kenangan mengenai Rera.Ah, dirinya kesal setengah mati.’Faye ditunangkan. Tanpa dasar cinta dan murni karena alasan bisnis. Calon tunangannya, Diyan, adalah eligible bachelor yang paling"
"Shirat!","Riyanto El-Harist",86,3.29,0,406,2011,NA,"DIVA Press",NA,"Indonesian",NA,NA,"Aku beristighfar atas apa yang baru saja kudengar. Mereka menyelenggarakan tahlilan untukku. Menyelenggarakan tahlil untuk orang yang masih hidup.... ***Kisah yang sedemikian menarik ini dibuka dengan adegan jatuhnya seorang pesawat yang membawa seorang politikus ternama negeri ini. Seorang politiku yang sangat disegani dan berpengaruh bernama Muhammad El Faridz. Meski sem"
